Street,HouseStyle,OverallQual,Functional,MiscFeature,SalePrice,LotArea,YearBuilt,1stFlrSF,2ndFlrSF,YrSold,BedroomAbvGr,KitchenAbvGr
Pave,2Story,7,Typ,,208500,8450,2003,856,854,2008,3,1
Pave,1Story,6,Typ,,181500,9600,1976,1262,0,2007,3,1
Pave,2Story,7,Typ,,223500,11250,2001,920,866,2008,3,1
Pave,2Story,7,Typ,,140000,9550,1915,961,756,2006,3,1
Pave,2Story,8,Typ,,250000,14260,2000,1145,1053,2008,4,1
Pave,1.5Fin,5,Typ,Shed,143000,14115,1993,796,566,2009,1,1
Pave,1Story,8,Typ,,307000,10084,2004,1694,0,2007,3,1
Pave,2Story,7,Typ,Shed,200000,10382,1973,1107,983,2009,3,1
Pave,1.5Fin,7,Min1,,129900,6120,1931,1022,752,2008,2,2
Pave,1.5Unf,5,Typ,,118000,7420,1939,1077,0,2008,2,2
Pave,1Story,5,Typ,,129500,11200,1965,1040,0,2008,3,1
Pave,2Story,9,Typ,,345000,11924,2005,1182,1142,2006,4,1
Pave,1Story,5,Typ,,144000,12968,1962,912,0,2008,2,1
Pave,1Story,7,Typ,,279500,10652,2006,1494,0,2007,3,1
Pave,1Story,6,Typ,,157000,10920,1960,1253,0,2008,2,1
Pave,1.5Unf,7,Typ,,132000,6120,1929,854,0,2007,2,1
Pave,1Story,6,Typ,Shed,149000,11241,1970,1004,0,2010,2,1
Pave,1Story,4,Typ,Shed,90000,10791,1967,1296,0,2006,2,2
Pave,1Story,5,Typ,,159000,13695,2004,1114,0,2008,3,1
Pave,1Story,5,Min1,,139000,7560,1958,1339,0,2009,3,1
Pave,2Story,8,Typ,,325300,14215,2005,1158,1218,2006,4,1
Pave,1.5Unf,7,Typ,,139400,7449,1930,1108,0,2007,3,1
Pave,1Story,8,Typ,,230000,9742,2002,1795,0,2008,3,1
Pave,1Story,5,Typ,,129900,4224,1976,1060,0,2007,3,1
Pave,1Story,5,Typ,,154000,8246,1968,1060,0,2010,3,1
Pave,1Story,8,Typ,,256300,14230,2007,1600,0,2009,3,1
Pave,1Story,5,Typ,,134800,7200,1951,900,0,2010,3,1
Pave,1Story,8,Typ,,306000,11478,2007,1704,0,2010,3,1
Pave,1Story,5,Typ,,207500,16321,1957,1600,0,2006,2,1
Pave,1Story,4,Typ,,68500,6324,1927,520,0,2008,1,1
Pave,2Story,4,Typ,,40000,8500,1920,649,668,2008,3,1
Pave,1Story,5,Typ,,149350,8544,1966,1228,0,2008,3,1
Pave,1Story,8,Typ,,179900,11049,2007,1234,0,2008,3,1
Pave,1Story,5,Typ,,165500,10552,1959,1700,0,2010,4,1
Pave,1Story,9,Typ,,277500,7313,2005,1561,0,2007,2,1
Pave,2Story,8,Typ,,309000,13418,2004,1132,1320,2006,4,1
Pave,1Story,5,Typ,,145000,10859,1994,1097,0,2009,3,1
Pave,1Story,5,Typ,,153000,8532,1954,1297,0,2009,3,1
Pave,1Story,5,Typ,,109000,7922,1953,1057,0,2010,3,1
Pave,1Story,4,Typ,,82000,6040,1955,1152,0,2008,2,2
Pave,1Story,6,Typ,,160000,8658,1965,1324,0,2006,3,1
Pave,1Story,5,Typ,,170000,16905,1959,1328,0,2007,2,1
Pave,SFoyer,5,Typ,,144000,9180,1983,884,0,2007,2,1
Pave,1Story,5,Typ,,130250,9200,1975,938,0,2008,3,1
Pave,1Story,5,Typ,,141000,7945,1959,1150,0,2006,3,1
Pave,1Story,9,Typ,,319900,7658,2005,1752,0,2010,2,1
Pave,1.5Fin,7,Typ,,239686,12822,2003,1518,631,2009,1,1
Pave,1Story,8,Typ,,249700,11096,2006,1656,0,2007,3,1
Pave,2Story,4,Typ,,113000,4456,1920,736,716,2009,2,3
Pave,1Story,5,Typ,,127000,7742,1966,955,0,2007,3,1
Pave,2Story,6,Typ,,177000,13869,1997,794,676,2007,3,1
Pave,1.5Fin,6,Typ,Shed,114500,6240,1934,816,0,2006,3,1
Grvl,1Story,5,Typ,,110000,8472,1963,816,0,2010,2,1
Pave,1Story,9,Typ,,385000,50271,1981,1842,0,2006,0,1
Pave,SLvl,5,Min1,,130000,7134,1955,1360,0,2007,3,1
Pave,1Story,6,Typ,,180500,10175,1964,1425,0,2008,3,1
Pave,2Story,8,Typ,,172500,2645,1999,983,756,2009,3,1
Pave,2Story,7,Typ,,196500,11645,2004,860,860,2006,3,1
Pave,2Story,10,Typ,,438780,13682,2006,1426,1519,2006,3,1
Pave,1Story,5,Typ,,124900,7200,1972,780,0,2008,2,1
Pave,1Story,6,Typ,,158000,13072,2004,1158,0,2006,3,1
Pave,2.5Unf,5,Typ,,101000,7200,1920,581,530,2007,3,1
Pave,1Story,8,Typ,,202500,6442,2006,1370,0,2007,2,1
Pave,2Story,7,Typ,,140000,10300,1921,902,808,2010,3,1
Pave,2Story,7,Typ,,219500,9375,1997,1057,977,2009,3,1
Pave,2Story,8,Typ,,317000,9591,2004,1143,1330,2007,4,1
Pave,1Story,7,Min1,,180000,19900,1970,2207,0,2010,3,1
Pave,1Story,7,Typ,,226000,10665,2003,1479,0,2007,3,1
Pave,1Story,4,Typ,,80000,4608,1945,747,0,2010,2,1
Pave,1.5Fin,7,Typ,,225000,15593,1953,1304,983,2006,3,1
Pave,1Story,7,Typ,,244000,13651,1973,2223,0,2007,3,1
Pave,1Story,4,Typ,,129500,7599,1982,845,0,2007,2,1
Pave,2Story,7,Typ,,185000,10141,1998,885,833,2009,3,1
Pave,1Story,5,Typ,,144900,10200,1954,1086,0,2010,3,1
Pave,2Story,3,Typ,,107400,5790,1915,840,765,2010,3,2
Pave,SLvl,4,Typ,,91000,1596,1973,526,462,2009,2,1
Pave,1Story,4,Typ,,135750,8475,1956,952,0,2008,2,1
Pave,1.5Fin,5,Min1,,127000,8635,1948,1072,213,2008,2,1
Pave,1Story,4,Typ,,136500,10778,1968,1768,0,2010,4,2
Pave,2Story,5,Typ,,110000,10440,1910,682,548,2009,2,1
Pave,2Story,6,Typ,,193500,13000,1968,1182,960,2009,4,1
Pave,1Story,6,Typ,,153500,4500,1998,1337,0,2006,2,1
Pave,1Story,8,Typ,,245000,10206,2007,1563,0,2008,3,1
Pave,1Story,5,Typ,,126500,8892,1960,1065,0,2007,3,1
Pave,SLvl,7,Typ,Shed,168500,8530,1995,804,670,2009,3,1
Pave,2Story,8,Typ,,260000,16059,1991,1301,1116,2006,4,1
Pave,2Story,6,Typ,,174000,11911,2005,684,876,2009,3,1
Pave,2Story,6,Typ,,164500,3951,2009,612,612,2009,2,1
Pave,1.5Fin,3,Typ,,85000,8470,1915,1013,0,2009,2,1
Pave,1Story,4,Typ,,123600,8070,1994,990,0,2007,3,1
Pave,1Story,4,Typ,,109900,7200,1950,1040,0,2006,2,1
Pave,1Story,5,Typ,,98600,8500,1961,1235,0,2006,2,1
Pave,1Story,5,Typ,,163500,13360,1921,964,0,2009,2,1
Pave,2.5Unf,6,Typ,,133900,7200,1910,1260,1031,2007,4,2
Pave,2Story,6,Typ,,204750,9337,1997,905,881,2007,3,1
Pave,2Story,6,Typ,Shed,185000,9765,1993,680,790,2009,3,1
Pave,1Story,7,Typ,,214000,10264,1999,1588,0,2006,3,1
Pave,1Story,4,Typ,,94750,10921,1965,960,0,2007,3,1
Pave,1Story,5,Typ,Shed,83000,10625,1920,835,0,2010,2,1
Pave,1Story,4,Typ,Shed,128950,9320,1959,1225,0,2010,3,1
Pave,1Story,6,Typ,,205000,10603,1977,1610,0,2010,3,1
Pave,2Story,6,Typ,,178000,9206,1985,977,755,2010,3,1
Pave,1Story,5,Typ,,118964,7018,1979,1535,0,2009,4,2
Pave,1Story,7,Typ,,198900,10402,2009,1226,0,2010,3,1
Pave,1.5Fin,7,Typ,,169500,7758,1931,1226,592,2007,4,1
Pave,2Story,8,Typ,,250000,9375,2003,1053,939,2008,3,1
Pave,1Story,4,Typ,Shed,100000,10800,1885,1047,0,2007,2,1
Pave,1Story,5,Typ,,115000,6000,1948,789,0,2008,2,1
